,name,online_order,book_table,rating,votes,location,rest_type,dish_liked,cuisines,approx_cost,type
206,Gama Gama,Yes,No,3.9,264,Banashankari,Quick Bites,"Jowar Roti, Buttermilk, Sabudana Vada, Thali, Mirchi Bajji, Brinjal Curry",South Indian,200,Delivery
207,The Vintage Cafe,Yes,No,3,62,Banashankari,Cafe,"Burgers, Caramel Milkshake, Iced Coffee, Iced Tea","Cafe, French, North Indian",400,Delivery
208,Pizza Hut,Yes,No,3.8,693,Banashankari,Casual Dining,"Supreme Pizza, Potato Wedges, Masala Lemonade, Tandoori Paneer, Exotic Garlic Bread","Pizza, Fast Food",750,Delivery
209,Mangalore Pearl,Yes,No,3.8,242,Jayanagar,Casual Dining,"Neer Dosa, Sea Food, Ghee Rice, Marwai Sukka, Egg Biryani, Kori Roti, Thai Fish","Mangalorean, Seafood, Chinese, Biryani",650,Delivery
210,Asha Sweets Centre,Yes,No,3.6,27,Basavanagudi,Dessert Parlor,NA,Fast Food,250,Delivery
211,Twiststick House,Yes,No,4.1,163,Basavanagudi,Quick Bites,"White Pasta, Noodles, Babycorn Manchurian, Pizza, Veg Momos, Fry Momos, Tawa Pulav","Continental, Fast Food, Street Food, Momos",500,Delivery
212,Cool Corner,Yes,No,4.2,191,Basavanagudi,Quick Bites,"Masala Dosa, Sandwiches, Coffee, Onion Dosa, Rava Dosa, Chaat, Sandwich","Street Food, Fast Food",250,Delivery
213,Pizza Mane,Yes,No,3.5,32,Banashankari,Quick Bites,"French Fries, Burgers","Pizza, Sandwich, Burger, Fast Food",150,Delivery
214,Dal Tadkaa,Yes,No,2.5,247,Banashankari,Casual Dining,"Paratha, Boondi Raita, Roti, Kulfi, Panneer Butter Masala, Sweet Lassi, Dal Tadka",North Indian,500,NA
216,Chutney Chang,Yes,Yes,4.1,2339,Jayanagar,Casual Dining,"Veg Momos, Brownie Chocolate, Palak Chaat, Mutton Biryani, Dahipuri, Fish, Sea Food","North Indian, Chinese, BBQ",1500,Delivery
217,Mystique Palate,Yes,No,4.1,337,Jayanagar,Quick Bites,"Noodles, Pasta, Schezwan Momos, Chicken Momo, Teriyaki Chicken, Thukpa, Fries","Chinese, Fast Food",300,Delivery
218,Thamboola,Yes,No,3.9,135,Banashankari,Casual Dining,"Spring Roll, Manchow Soup, Babycorn Manchurian, Mint Cooler, Roti, Panneer Butter Masala","North Indian, Chinese, Continental",800,Delivery
219,Castle Rock,Yes,No,3.6,172,Uttarahalli,Casual Dining,Biryani,"North Indian, Chinese",700,Delivery
220,Vietnamese Kitchen,Yes,No,3.6,105,Banashankari,Casual Dining,"Pho, Papaya Salad, Coffee, Veg Momos, Rolls",Vietnamese,700,Delivery
221,Smacznego,Yes,No,4.2,504,Banashankari,Cafe,"Waffles, Pasta, Coleslaw Sandwich, Choco Waffle, Tacos, Momos, Cheese Nachos","Cafe, Mexican, Italian, Momos, Beverages",550,Delivery
222,C Corner,Yes,No,3.2,36,Kumaraswamy Layout,Quick Bites,NA,"Fast Food, Street Food",200,Delivery
223,Paratha Merchant,Yes,No,3.1,39,Kumaraswamy Layout,Quick Bites,NA,North Indian,300,Delivery
224,North Rasoe,Yes,No,3.1,5,Kumaraswamy Layout,Casual Dining,NA,"North Indian, Chinese, Biryani, Kebab",500,Delivery
226,Toscano,Yes,Yes,4.3,1129,Jayanagar,Casual Dining,"Pizza, Pasta, Salads, Calamari, Ravioli, Pumpkin Soup, Wine","Italian, Salad",1300,Delivery
227,Lord Of The Kitchen,Yes,No,3.9,56,Kumaraswamy Layout,Quick Bites,NA,"North Indian, Chinese",350,Delivery
228,Stoned Monkey,Yes,No,4.3,860,Banashankari,Dessert Parlor,"Nachos, Cup Cake, Hot Chocolate Fudge, Salsa, Cheesy Garlic Bread, Waffles, Tiramisu","Desserts, Ice Cream",500,Delivery
229,Central Jail Restaurant,Yes,No,3.8,412,Jayanagar,Casual Dining,"Lime Soda, Manchow Soup, Biryani, Lemon Chicken, Tomato Soup, Butter Naan, Chilli Chicken","Andhra, Seafood, North Indian, Chinese",700,Delivery
230,Bella,Yes,Yes,3.9,142,Jayanagar,Casual Dining,"Murgh Ghee Roast, Fish Fry, Ghee Roast Paneer, Neer Dosa, Appam, Sea Food, Chicken Sukha","Mangalorean, Seafood, South Indian",1000,Delivery
231,Vennela Andhra Meals,Yes,No,3,23,Jayanagar,Quick Bites,NA,Andhra,400,Delivery
232,New Prashanth Hotel,Yes,No,3.6,143,Jayanagar,Casual Dining,"Ragi Mudde, Lemon Chicken, Chilli Chicken, Chicken Curry, Mutton Chops, Mutton Biryani","South Indian, Biryani, Chinese, North Indian",750,Delivery
233,The Grillo,Yes,Yes,2.8,80,Jayanagar,Casual Dining,NA,"South Indian, Arabian, Chinese, North Indian, Seafood, Mangalorean",500,Delivery
234,Re Malnad Nati Style Hotel,Yes,No,3.6,16,JP Nagar,Casual Dining,NA,South Indian,400,Delivery
235,Karma Kaapi,Yes,No,4.4,181,Jayanagar,Beverage Shop,"Pasta, Potato Fries, Potato Wedges, Hot Chocolate, Chaat, Filter Coffee, Americano","Beverages, Tea",250,Delivery
236,Tiwari's,Yes,No,3.8,70,Jayanagar,Quick Bites,"Sweet Lassi, Gulab Jamun, Palak Paneer Paratha, Paneer Parantha","North Indian, Street Food",200,Delivery
237,Pizza Stop,Yes,No,3.8,164,Basavanagudi,Quick Bites,"Pizza, White Sauce Pasta, Masala Garlic Bread","Pizza, Italian",600,Delivery
238,Biggies Burger 'n' More,Yes,No,3.6,58,Kumaraswamy Layout,Quick Bites,"Burgers, Fries, Mojito, Chicken Burger","Cafe, Burger, Beverages",650,Delivery
239,Srinathji's Cafe,No,No,3.8,148,Basavanagudi,"Casual Dining, Cafe","Paratha, Sandwich, Chilli Idli, Noodles, Sandwiches, Lime Soda","North Indian, Cafe, Chinese, Fast Food",550,Delivery
240,Kollapuri's,No,No,3.9,206,Basavanagudi,Quick Bites,"Chicken Biryani, Mutton Biryani, Egg Biryani, Chicken Fry, Mutton Fry","South Indian, Mangalorean",450,Delivery
243,Kadamba Classic,No,No,3.6,16,Mysore Road,Quick Bites,NA,South Indian,300,Delivery
244,RS Shiv Sagar,No,No,3.7,217,Basavanagudi,Casual Dining,"Chaat, Brownie, Onion Rings, Tomato Soup, Paneer Manchurian, Thali, Faluda","North Indian, Chinese, South Indian, Fast Food, Juices",450,Delivery
245,Kholi Mane,No,No,3.6,46,Basavanagudi,Quick Bites,NA,"Andhra, South Indian, Biryani, North Indian",450,Delivery
246,Harshi Super Sandwich,No,No,3.8,148,Basavanagudi,Quick Bites,"Sandwiches, Chocolate Sandwich, Chaat, Veg Cheese Sandwich, Chilli Cheese, Corn Sandwich","Fast Food, Street Food",150,Delivery
247,Cake Yard,No,No,3.4,30,Basavanagudi,Dessert Parlor,NA,Desserts,250,Delivery
248,Rosewood International Hotel - Bar & Restaurant,No,No,3.6,8,Mysore Road,Casual Dining,NA,"North Indian, South Indian, Andhra, Chinese",800,Delivery
249,Sri Udupi Veg,No,No,3.3,4,Jayanagar,Quick Bites,NA,South Indian,250,Delivery
250,Cake Art,No,No,3.5,15,Basavanagudi,"Bakery, Quick Bites",NA,Bakery,400,Delivery
254,Potato House,Yes,No,3.4,9,Uttarahalli,Quick Bites,NA,Street Food,200,Delivery
256,Matru Sagar,Yes,No,3.7,31,Mysore Road,Quick Bites,NA,"South Indian, North Indian",300,Delivery
257,Ugadi,Yes,No,2.9,177,Jayanagar,Casual Dining,"Prawn Biryani, Andhra Meal, Veg Thali, Fry Piece Biryani, Gongura Chicken, Paratha","North Indian, Chinese, Biryani, Andhra, Mangalorean",700,NA
259,Sri Krishna Sweets,Yes,No,3.7,22,Basavanagudi,Sweet Shop,NA,"Mithai, Desserts",250,Delivery
260,In Time Cane Juice,Yes,No,3.5,10,Kumaraswamy Layout,Beverage Shop,NA,"Juices, Beverages",100,Delivery
261,Subway,Yes,No,3.7,136,Banashankari,Quick Bites,"Veggie Delight, Paneer Tikka, Salad","Salad, Fast Food",600,Delivery
262,Daal Roti,Yes,No,2.9,35,Kumaraswamy Layout,Quick Bites,NA,"North Indian, Chinese",250,Delivery
263,The Lassi Park,Yes,No,4.1,185,Jayanagar,Quick Bites,"Faluda, Brownie, Sandwich, Kulfi, Fruit Salad, Sweet Lassi, Chocolate Fudge","Juices, Desserts",200,Delivery
264,Cafe Coffee Day,Yes,No,3.2,17,Jayanagar,Cafe,NA,"Cafe, Fast Food",900,Delivery
265,A2B - Adyar Ananda Bhavan,Yes,No,3.8,155,Mysore Road,Casual Dining,"Pav Bhaji, Masala Dosa, Idli Vada, Filter Coffee, Pongal, Curd Rice, Kesari Bath","South Indian, North Indian, Chinese, Street Food",400,Delivery
266,Srikrishna Bhavan,Yes,No,3.8,42,Banashankari,Quick Bites,"Roti, Masala Dosa","South Indian, North Indian, Chinese",300,Delivery
267,Timepass Dinner,Yes,No,3.8,286,Basavanagudi,Casual Dining,"Onion Rings, Pasta, Kadhai Paneer, Salads, Salad, Roti, Jeera Rice",North Indian,600,Delivery
268,Green Gardenia,Yes,No,3.8,160,Banashankari,Casual Dining,"Masala Papad, Paneer Satay, Paneer Hyderabadi, Butter Naan, Roti","North Indian, Chinese",700,Delivery
269,J Spice,Yes,No,3.8,59,Banashankari,Casual Dining,"Stuffed Mushroom, Chicken Biryani, Jal-jeera","North Indian, Chinese",750,Delivery
270,Karavali Family Restaurant,Yes,No,3.5,90,Jayanagar,Casual Dining,NA,"Seafood, Biryani, South Indian, North Indian, Chinese",500,Delivery
271,Karavali Lunch Home,Yes,No,3.7,51,Kumaraswamy Layout,Quick Bites,NA,"South Indian, Mangalorean",350,Delivery
272,Hatti Kaapi,Yes,No,4,89,Jayanagar,Quick Bites,"Filter Coffee, Tea, Hot Coffee, Hatti Samosa","South Indian, Beverages",200,Delivery
273,Kolkata Kathi Roll's,Yes,No,3.6,18,Banashankari,Quick Bites,NA,"Fast Food, Rolls",250,Delivery
274,Upahara Darshini,Yes,No,3.9,40,Basavanagudi,Casual Dining,Masala Dosa,"North Indian, Chinese, South Indian, Fast Food",600,Delivery
275,The Chaat Shop,Yes,No,2.5,35,Basavanagudi,Quick Bites,"Badam Milk, Potato Twister, Pav Bhaji, Panipuri, Tikki Chaat, Cheese Cutlet",Fast Food,200,Delivery
276,Anda Ka Funda,Yes,No,3.4,89,Jayanagar,Quick Bites,NA,"North Indian, Chinese, Rolls",250,Delivery
277,Shri Vinayaka Ice N Juice,Yes,No,3.2,11,Basavanagudi,Quick Bites,NA,"Beverages, Fast Food",150,Delivery
278,My Tea House,Yes,No,3.6,62,Banashankari,"Quick Bites, Cafe","Pasta, Iced Tea","Italian, Fast Food, Cafe, European",600,Delivery
279,Ibaco,Yes,No,3.9,33,Jayanagar,Dessert Parlor,NA,Desserts,300,Delivery
280,Jalaram Sweets,Yes,No,3.8,32,Jayanagar,Sweet Shop,NA,"Desserts, Mithai",250,Delivery
281,Samskruti - Sanman Gardenia,Yes,No,4.1,139,Jayanagar,Casual Dining,"Roti, Butter Kulcha, Fried Rice, Tomato Soup, Curd Rice, Lunch Buffet, Paneer Tikka","North Indian, Chinese, South Indian",550,Delivery
282,Bendakaluru Bytes,Yes,No,3.2,154,Vijay Nagar,Quick Bites,NA,Fast Food,300,Delivery
283,Cocoa Bakes,Yes,No,3.6,14,Banashankari,Bakery,NA,"Bakery, Desserts",350,Delivery
284,Chumma Delicious,Yes,No,3.7,237,Banashankari,Quick Bites,Chicken Biryani,"South Indian, Fast Food",200,Delivery
285,New Prashanth Hotel,Yes,No,3.9,388,Banashankari,Casual Dining,"Chicken Biryani, Ragi Mudde, Mutton Chops","Biryani, North Indian, Seafood, Andhra",650,Delivery
286,SSV Upahar,Yes,No,0,0,Jayanagar,Quick Bites,NA,"South Indian, Chinese",300,Delivery
287,Dwaraka Grand,Yes,No,3.9,128,Kumaraswamy Layout,Casual Dining,"Masala Dosa, Coffee","South Indian, Chinese, Street Food, Juices",500,Delivery
288,Gufha - The President Hotel,Yes,Yes,4.1,1875,Jayanagar,Casual Dining,"Cocktails, Paneer Tikka, Rasmalai, Rabri, Masala Papad, Vegetable Biryani, Chicken Curry","North Indian, Afghani, Mughlai",1200,Delivery
289,Cafe Vivacity,Yes,No,3.8,90,Banashankari,Cafe,"Garlic Bread, Burgers, Sandwiches, Pizza, Hot Chocolate Fudge, Waffles, Potato Wedges",Cafe,650,Delivery
290,Tanna's Kitchen,Yes,No,3.1,7,Kumaraswamy Layout,Quick Bites,NA,"Italian, Chinese, Street Food",250,Delivery
291,Shree Mandarathi Grand,Yes,No,3.7,38,Uttarahalli,Casual Dining,NA,"South Indian, North Indian",400,Delivery
292,Mojo Pizza - 2X Toppings,Yes,No,4.2,179,Banashankari,Delivery,"Veggie Pizza, Garlic Bread, Lava Cake, Chocolava, Spicy Paneer",Pizza,600,Delivery
293,Iceberg Icecreams,Yes,No,4,43,Basavanagudi,Dessert Parlor,NA,"Desserts, Ice Cream",250,Delivery
294,South Kitchen,Yes,No,4.3,275,Basavanagudi,Quick Bites,"Kharabath, Crispy Vada, Filter Coffee, Idli Vada, Idli Chutney, Kesari Bath, Gulab Jamun",South Indian,100,Delivery
295,Chung Wah,Yes,No,3.7,323,Jayanagar,Casual Dining,"Noodles, Veg Momos, Chowmein, Schezwan Fried Rice, Clear Soup, Sweet Corn Soup, Chicken Wings","Chinese, Thai, Momos",850,Delivery
296,Shanthi Sagar,Yes,No,3.1,28,Uttarahalli,Casual Dining,NA,"South Indian, North Indian, Chinese",400,Delivery
297,Millet Mama,Yes,No,3.9,18,Basavanagudi,Quick Bites,NA,"South Indian, Healthy Food",200,Delivery
298,Bangarpet Chat Express,Yes,No,3.3,6,Basavanagudi,Quick Bites,NA,"Street Food, Fast Food",100,Delivery
300,Prems Graama Bhojanam,Yes,No,4.3,322,Jayanagar,Casual Dining,"Veg Thali, Matka Kulfi, Pongal, Buttermilk, Vada, Ragi Mudde, Curd Rice",South Indian,400,Delivery
301,Java City,Yes,No,2.6,157,Jayanagar,Cafe,"Coffee, Sandwich, Hot Chocolate, Ice Tea, Sandwiches, Chicken Lasagne, Pizza","Cafe, American, Pizza",450,Delivery
302,Kamat Bugle Rock,Yes,No,3.9,543,Basavanagudi,Quick Bites,"Jowar Roti, Buttermilk, Jolada Rotti, Brinjal Curry, Coffee, Pongal, Vegetable Biryani","South Indian, Fast Food",300,Delivery
303,Woodee Pizza,Yes,No,3.7,180,Banashankari,Cafe,"Pizza, Garlic Bread","Cafe, Pizza, Fast Food, Beverages",500,Delivery
304,Puliyogare Point,Yes,No,4.2,444,Basavanagudi,Quick Bites,"Sweet Pongal, Mini Idlis, Filter Coffee, Open Masala Dosa, Pakoda, Vada, Raagi Dosa",South Indian,100,Delivery
305,Bangalore Agarwal Bhavan,Yes,No,3.9,134,Jayanagar,Quick Bites,"Paratha, Coffee, Halwa, Lassi","Street Food, North Indian, South Indian",400,Delivery
306,Rustic Stove,Yes,No,3.8,577,Jayanagar,Casual Dining,"Vegetable Biryani, Pineapple Rasam, Cheese Garlic Naan, Potato Cheese Ball, Bamboo Chicken Biryani, Chicken Skewer, Fish","North Indian, South Indian, Biryani, Beverages",900,Delivery
307,Udupi Ruchi Grand,Yes,No,4.2,60,Banashankari,Quick Bites,NA,"South Indian, North Indian, Chinese, Street Food",200,Delivery
308,De Thaali,Yes,No,3.9,144,Jayanagar,Casual Dining,"Malai Kofta, Sandwich, Naan","North Indian, Chinese, Rolls",550,Delivery
309,Spice Elephant,Yes,No,4.1,787,Banashankari,Casual Dining,"Momos, Lunch Buffet, Chocolate Nirvana, Thai Green Curry, Paneer Tikka, Dum Biryani, Chicken Biryani","Chinese, North Indian, Thai",800,Delivery
310,Just Thindi,Yes,No,3.6,16,Basavanagudi,Quick Bites,NA,South Indian,200,Delivery
311,Matru Sagar,Yes,No,3.6,84,Banashankari,Quick Bites,"Coffee, Masala Dosa","South Indian, North Indian, Chinese",250,Delivery
312,Vasanth Vihar - Since 1965,Yes,No,3.6,95,Banashankari,Quick Bites,NA,"South Indian, Street Food",150,Delivery
313,Sea Spice by 7 Star,Yes,Yes,4,349,Banashankari,Casual Dining,"Sea Food, Neer Dosa, Anjal Masala Fry, Coconut Pudding, Chicken Biryani, Roti, Fish Curry","Seafood, Biryani, Beverages, South Indian, North Indian, Kebab",1200,Delivery
314,Desi Dawat,Yes,No,3.7,248,Kumaraswamy Layout,Quick Bites,"Tandoori Chicken, Rolls","North Indian, Fast Food",400,Delivery
315,Cafe Aira,Yes,No,4.1,216,Basavanagudi,Cafe,"Pasta, Nachos, Jalapeno Poppers, Burrito Bowl, Ferrero Rocher Shake, Falafal Sandwich, Banana Waffles","Cafe, Continental, Beverages, Desserts",500,Delivery
317,Penthouse Cafe,Yes,No,4,324,Banashankari,Cafe,"Pizza, Mocktails, Coffee, Nachos, Salad, Pasta, Sandwiches","Cafe, Italian, Continental",700,Delivery
318,Mast Punjabi,Yes,No,2.6,231,Kumaraswamy Layout,Quick Bites,Aloo Paratha,"North Indian, Chinese, Rolls, Biryani, Kebab",400,NA
320,South Grand,Yes,No,3.4,102,Uttarahalli,Casual Dining,Rava Dosa,"South Indian, North Indian, Chinese, Beverages",400,Delivery
321,Catch-up-ino,Yes,No,3.9,133,Banashankari,Cafe,"Momos, Mushroom Bruschettas, Jalapeno Cheeseballs, Pasta, Red Velvet Shake, Red Velvet Milkshake, Maggi","Cafe, Fast Food, Continental, Chinese, Momos",800,Delivery
322,The Pizzeria,Yes,No,2.8,45,Banashankari,Casual Dining,Pesto Pizza,"Pizza, Italian, Salad",800,Delivery
323,Cafe Zone,Yes,No,3.9,149,Kumaraswamy Layout,Quick Bites,NA,"Fast Food, Chinese, Rolls",300,Delivery
324,Ruchis Point,Yes,No,3.8,75,Banashankari,Quick Bites,"Sandwiches, Noodles, Sandwich","Fast Food, Chinese",200,Delivery
325,Firangi Bake,Yes,No,4,53,Rajarajeshwari Nagar,Delivery,"Lasagne, Steak, Masala Quesadilla, Garlic Bread","Mexican, Italian",600,Delivery
326,The Royal Corner - Pai Viceroy,Yes,Yes,4.2,815,Jayanagar,Casual Dining,"Breakfast Buffet, Kulcha, Almond Soup, Lunch Buffet, Roti, Mocktails, Vegetarian","North Indian, Chinese",900,Delivery
327,Hara Fine Dine,Yes,Yes,4,633,Banashankari,Casual Dining,"Hara Bhara Kabab, Crispy Corn, Patiala Paneer, Panneer Butter Masala, Dum Biryani, Jal-jeera, Butter Naan","North Indian, Chinese",800,Delivery
328,Chocoberry,Yes,No,3.5,56,Jayanagar,Dessert Parlor,"Waffles, Cup Cake, Chocolate Cake","Ice Cream, Desserts, Beverages",400,Delivery
329,Dakshin Grand,Yes,No,3,82,Banashankari,Quick Bites,NA,"South Indian, North Indian, Chinese, Street Food",300,Delivery
330,Sandwichwallas,Yes,No,3.7,35,Jayanagar,Quick Bites,NA,Fast Food,200,Delivery
331,Chai Mane,Yes,No,3.6,20,Basavanagudi,Quick Bites,NA,"Juices, Fast Food",150,Delivery
332,SLV Upachar,Yes,No,3.1,14,Kumaraswamy Layout,Quick Bites,NA,"South Indian, Chinese, Street Food",250,Delivery
333,Waffle-A-Go Go,Yes,No,3.9,70,Banashankari,Dessert Parlor,Waffles,"Fast Food, Desserts, Ice Cream",400,Delivery
334,Cross Road Cafe,Yes,No,3.9,91,Jayanagar,Cafe,"Momos, Burgers, Rolls, Sandwich, Hot Chocolate, Tea, Naga Thali","Cafe, Fast Food, Chinese",300,Delivery
335,Anand Donne Biriyani,Yes,No,3.6,45,Jayanagar,Quick Bites,NA,Biryani,200,Delivery
336,Seven Star,Yes,No,3.4,7,Banashankari,Quick Bites,NA,"North Indian, Chinese",250,Delivery
337,Stop 'N' Joy,Yes,No,3.8,28,Banashankari,Quick Bites,NA,Fast Food,150,Delivery
338,Sri Yaksha Shiv Sagar,Yes,No,3.6,24,Banashankari,Casual Dining,NA,"North Indian, Chinese",600,Delivery
339,Fudge,Yes,No,3.8,36,Basavanagudi,Dessert Parlor,NA,"Desserts, Momos",200,Delivery
340,Just Bunny,Yes,No,3.5,11,Jayanagar,Quick Bites,NA,Fast Food,200,Delivery
341,Bakers Town,Yes,No,3.8,77,Kumaraswamy Layout,Cafe,"Freak Shake, Fries, Pasta Alfredo","Cafe, Continental, Fast Food",650,Delivery
342,Shree Mahalakshmi Sweets,Yes,No,3.2,8,Banashankari,Sweet Shop,NA,"Mithai, Street Food",100,Delivery
343,Kaapi Kendra,Yes,No,3.7,14,Jayanagar,Quick Bites,NA,South Indian,100,Delivery
344,Ivy,Yes,No,3.8,210,Kumaraswamy Layout,Casual Dining,"Butter Chicken, Chicken Grill, Tandoori Chicken, Noodles, Biryani, Fried Rice Chicken","North Indian, Chinese, Fast Food",600,Delivery
345,The Airos,Yes,No,4.1,130,Jayanagar,Cafe,"Pizza, Pasta, Nachos, Burgers, Sandwich, Tea, Cheese Balls","Cafe, Italian, Pizza",650,Delivery
346,Chai Kraft,Yes,No,4.1,30,Jayanagar,Beverage Shop,"Masala Chai, Coffee, Masala Tea, Maggi","Beverages, Tea",100,Delivery
347,Kirthi's Biryani,Yes,No,3.8,144,Banashankari,Cafe,"Pasta, Gelato, Garlic Bread, Mojito, Nachos, Paneer Pizza, Mocktails","Chinese, Cafe, Italian",700,Delivery
348,South Point Pub,Yes,No,3.4,11,Basavanagudi,Bar,NA,"North Indian, Seafood, Chinese",800,Delivery
349,The Trundle,Yes,No,3.7,133,Jayanagar,Casual Dining,"Salad, Mocktails, Chocolava, Pesto Pasta, Momos, Jasmine Rice, Tom Yum Soup","Chinese, Thai, Continental, North Indian",700,Delivery
350,The Krishna Grand Xpress,Yes,No,4,136,Jayanagar,Quick Bites,"Vada, Masala Dosa, Idli","South Indian, Fast Food",350,Delivery
351,Sri Krishna Darshini,Yes,No,3.1,4,Basavanagudi,Quick Bites,NA,"South Indian, North Indian, Chinese",200,Delivery
352,Shringar Sweets & Snacks,Yes,No,3.5,11,Basavanagudi,"Sweet Shop, Quick Bites",NA,"Mithai, South Indian, Street Food, Fast Food",200,Delivery
353,Udupi Grand,Yes,No,3.8,74,Basavanagudi,Quick Bites,"Coffee, Masala Dosa, Vegetable Biryani","South Indian, North Indian, Chinese",300,Delivery
354,Ganesh Grand,Yes,No,3.7,30,Basavanagudi,Quick Bites,NA,"South Indian, North Indian, Desserts",300,Delivery
355,Shreyas Upahar & Burger Point,Yes,No,3,7,Basavanagudi,Quick Bites,NA,"South Indian, Burger",200,Delivery
356,Coffee Tindi,Yes,No,3.8,75,Banashankari,"Cafe, Quick Bites",NA,"Cafe, South Indian",200,Delivery
357,Little Cafe,Yes,No,3.7,54,Basavanagudi,Cafe,"Pasta, Pizza, Burgers, Pancakes, Garlic Bread","Cafe, Beverages",600,Delivery
358,Mumbai Badam Milk & Lassi Center,Yes,No,3.6,23,Basavanagudi,Kiosk,NA,"Beverages, Desserts",100,Delivery
359,Sri Krishna Sagar,Yes,No,3.2,119,Banashankari,Casual Dining,NA,"North Indian, Chinese",400,Delivery
360,Mylari Biryani Family Restaurant,Yes,No,3.7,73,Banashankari,Quick Bites,NA,"Biryani, Fast Food",400,Delivery
361,1980s Games Cafe,Yes,No,3.4,58,Basavanagudi,Cafe,"Maggi, Pasta, Burgers, Sandwiches, Fries","Cafe, Fast Food",400,Delivery
362,Kadala Tarangaa,Yes,No,3.6,129,Banashankari,Casual Dining,"Sea Food, Neer Dosa","Mangalorean, Seafood, North Indian",600,NA
364,Namma Biryani,Yes,No,3.6,24,Banashankari,Quick Bites,NA,"Biryani, Chinese, North Indian",250,Delivery
365,Nandhanu's Rasoi,Yes,No,3,175,Kumaraswamy Layout,Quick Bites,NA,"Chinese, North Indian",400,Delivery
366,Hotel Pork Paradise,Yes,No,3.7,21,Mysore Road,Quick Bites,NA,South Indian,300,Delivery
367,As On Fire,Yes,No,3.5,41,South Bangalore,Food Truck,Pizza,"Pizza, Fast Food, BBQ",400,Delivery
368,J K Fish Land,Yes,No,3.6,35,Jayanagar,Quick Bites,NA,"Seafood, Mangalorean",300,Delivery
369,Curry Leaves,Yes,No,4.1,176,Basavanagudi,Casual Dining,"Brownie, Mojito, Prawn Ghee Roast, Corn Tikki, Mushroom Ghee Roast, Pinacolada, Biryani","Andhra, North Indian, Chinese",800,Delivery
370,Lassi Shop,Yes,No,3.5,45,Banashankari,Beverage Shop,NA,"Beverages, Ice Cream, Fast Food",300,Delivery
371,Magic Meals,Yes,No,3.7,47,Jayanagar,"Quick Bites, Dessert Parlor","Biryani, Thick Shakes, Fries","Fast Food, Desserts, Beverages",400,Delivery
372,Desi Cream Junction,Yes,Yes,3.7,36,Jayanagar,Casual Dining,Vegetarian,"Chinese, North Indian, Pizza, Italian",650,Delivery
373,Drunken Monkey,Yes,No,3.8,52,Kumaraswamy Layout,"Beverage Shop, Quick Bites",NA,"Beverages, Fast Food",400,Delivery
374,Ruchi's Corner,Yes,No,2.7,123,Banashankari,Quick Bites,NA,Fast Food,200,Delivery
375,Tandoori Bytes,Yes,No,3.6,59,Kumaraswamy Layout,Casual Dining,NA,North Indian,700,Delivery
376,Bangalore Donne Biriyani,Yes,No,3.2,4,Kumaraswamy Layout,Quick Bites,NA,"South Indian, Biryani",300,Delivery
377,SGS Non Veg - Gundu Pulav,Yes,No,3.8,101,Banashankari,Quick Bites,NA,"Biryani, Fast Food",400,Delivery
